beneficiary_id,full_name,national_id,email,phone,pillar,region,consent_status,consent_type,consent_date,status,enrollment_status,consent_data_sharing,consent_photo_use,consent_sms_contact,consent_external_reporting
INK-2026-1059,James Omondi,20001486,james.omondi.59@inuka.org,+254720716688,Tech,Western,Consented,Physical Form,2026-03-13 19:38:09,Active,Enrolled,1,1,0,0
INK-2026-1060,Florence Wambui,20001674,florence.wambui.60@inuka.org,+254743636912,Vocational,Western,Consented,Digital Signature,2026-03-24 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1061,Philip Juma,20001420,philip.juma.61@inuka.org,+254750426955,Vocational,Nyanza,Consented,SMS OTP,2026-05-16 19:38:09,Active,Enrolled,1,0,0,1
INK-2026-1062,Philip Kiptoo,20001830,philip.kiptoo.62@inuka.org,+254770947547,Plus,Central,Pending,,,Active,Pending Review,0,0,0,0
INK-2026-1063,Mercy Ekiru,20001715,mercy.ekiru.63@inuka.org,+254787559569,Vocational,Central,Consented,Digital Signature,2026-08-16 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1064,Grace Jebet,20001256,grace.jebet.64@inuka.org,+254787458576,Scholarship,Western,Consented,Physical Form,2026-04-02 19:38:09,Active,Enrolled,1,1,0,0
INK-2026-1065,Evans Wambui,20001588,evans.wambui.65@inuka.org,+254713934394,Plus,Nyanza,Consented,SMS OTP,2026-07-11 19:38:09,Active,Enrolled,1,1,0,1
INK-2026-1066,Charles Mohamed,20001884,charles.mohamed.66@inuka.org,+254741728478,Tech,Central,Consented,SMS OTP,2026-06-11 19:38:09,Active,Enrolled,1,1,0,0
INK-2026-1067,Sarah Mutua,20002105,sarah.mutua.67@inuka.org,+254794796964,Scholarship,Nairobi,Consented,Physical Form,2026-08-16 19:38:09,Active,Enrolled,1,0,1,1
INK-2026-1068,Lydia Wanyama,20001456,lydia.wanyama.68@inuka.org,+254715325547,Tech,Rift Valley,Pending,,,Active,Pending Review,0,0,0,0
INK-2026-1069,Grace Achieng,20002120,grace.achieng.69@inuka.org,+254763636672,Vocational,North Eastern,Consented,Digital Signature,2026-02-17 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1070,Geoffrey Ekiru,20001580,geoffrey.ekiru.70@inuka.org,+254765816908,Tech,Central,Consented,SMS OTP,2026-06-05 19:38:09,Active,Enrolled,1,0,1,1
INK-2026-1071,Alice Karanja,20002076,alice.karanja.71@inuka.org,+254717141732,Scholarship,Nyanza,Consented,SMS OTP,2026-02-25 19:38:09,Active,Enrolled,1,1,1,0
INK-2026-1072,Julius Kariuki,20001616,julius.kariuki.72@inuka.org,+254733953661,Tech,Western,Consented,SMS OTP,2026-03-21 19:38:09,Active,Enrolled,1,0,0,1
INK-2026-1073,Alice Juma,20001493,alice.juma.73@inuka.org,+254758756784,Plus,Nyanza,Consented,Digital Signature,2026-02-10 19:38:09,Active,Enrolled,1,1,0,1
INK-2026-1074,Emmanuel Wekesa,20002063,emmanuel.wekesa.74@inuka.org,+254789951105,Scholarship,Nyanza,Consented,Physical Form,2026-04-07 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1075,Peter Cherono,20001438,peter.cherono.75@inuka.org,+254755492606,Vocational,Central,Consented,SMS OTP,2026-04-19 19:38:09,Active,Enrolled,1,0,1,0
INK-2026-1076,Philip Wamalwa,20001962,philip.wamalwa.76@inuka.org,+254734407494,Plus,Central,Consented,Digital Signature,2026-03-06 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1077,Brian Ekiru,20002172,brian.ekiru.77@inuka.org,+254783819603,Vocational,Eastern,Consented,Digital Signature,2026-08-15 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1078,Emmanuel Kiprop,20001795,emmanuel.kiprop.78@inuka.org,+254713175552,Tech,Coastal,Consented,Physical Form,2026-03-28 19:38:09,Active,Enrolled,1,1,0,1
INK-2026-1079,Jane Rotich,20001843,jane.rotich.79@inuka.org,+254786984857,Vocational,North Eastern,Consented,SMS OTP,2026-05-17 19:38:09,Active,Enrolled,1,0,0,1
INK-2026-1080,Agnes Nyangau,20001716,agnes.nyangau.80@inuka.org,+254753305572,Tech,Nyanza,Pending,,,Active,Pending Review,0,0,0,0
INK-2026-1081,Collins Kariuki,20002205,collins.kariuki.81@inuka.org,+254768653274,Tech,Nyanza,Withdrawn,SMS OTP,2026-07-22 19:38:09,Active,On Hold,0,0,0,0
INK-2026-1082,Charles Mwangi,20001736,charles.mwangi.82@inuka.org,+254747611849,Vocational,Coastal,Consented,Physical Form,2026-04-12 19:38:09,Active,Enrolled,1,0,1,0
INK-2026-1083,Peter Kiprop,20001980,peter.kiprop.83@inuka.org,+254747664139,Plus,Western,Consented,Physical Form,2026-05-14 19:38:09,Active,Enrolled,1,0,1,0
INK-2026-1084,Julius Hassan,20001585,julius.hassan.84@inuka.org,+254725768805,Scholarship,Western,Consented,Digital Signature,2026-07-01 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1085,Joyce Wangari,20002203,joyce.wangari.85@inuka.org,+254791421660,Vocational,North Eastern,Consented,SMS OTP,2026-05-03 19:38:09,Active,Enrolled,1,0,1,0
INK-2026-1086,Charles Wanjiku,20002313,charles.wanjiku.86@inuka.org,+254756393962,Plus,Rift Valley,Consented,SMS OTP,2026-05-05 19:38:09,Active,Enrolled,1,1,0,1
INK-2026-1087,Andrew Otieno,20002378,andrew.otieno.87@inuka.org,+254716663757,Plus,Rift Valley,Consented,Physical Form,2026-07-07 19:38:09,Active,Enrolled,1,0,0,1
INK-2026-1088,Rachael Wangari,20001775,rachael.wangari.88@inuka.org,+254725109788,Tech,North Eastern,Consented,SMS OTP,2026-02-28 19:38:09,Active,Enrolled,1,1,0,1
INK-2026-1089,Francis Chepkemoi,20002321,francis.chepkemoi.89@inuka.org,+254717154225,Plus,Coastal,Consented,Digital Signature,2026-05-29 19:38:09,Active,Enrolled,1,1,1,0
INK-2026-1090,Joyce Mutua,20001913,joyce.mutua.90@inuka.org,+254772282855,Scholarship,Eastern,Consented,Physical Form,2026-04-25 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1091,Philip Otieno,20002265,philip.otieno.91@inuka.org,+254731421392,Tech,Central,Consented,Digital Signature,2026-08-14 19:38:09,Active,Enrolled,1,1,0,1
INK-2026-1092,Lydia Kamau,20002390,lydia.kamau.92@inuka.org,+254720598983,Vocational,Central,Consented,SMS OTP,2026-03-22 19:38:09,Active,Enrolled,1,0,0,0
INK-2026-1093,Grace Omondi,20002412,grace.omondi.93@inuka.org,+254799263910,Scholarship,Nyanza,Consented,Digital Signature,2026-08-13 19:38:09,Active,Enrolled,1,1,1,0
INK-2026-1094,James Mwangi,20002592,james.mwangi.94@inuka.org,+254734115531,Vocational,North Eastern,Consented,Digital Signature,2026-04-09 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1095,Wycliffe Kipkorir,20001925,wycliffe.kipkorir.95@inuka.org,+254781857162,Scholarship,North Eastern,Consented,Physical Form,2026-06-27 19:38:09,Active,Enrolled,1,0,0,0
INK-2026-1096,Beatrice Kemei,20001734,beatrice.kemei.96@inuka.org,+254718666267,Vocational,Nairobi,Consented,Physical Form,2026-08-15 19:38:09,Active,Enrolled,1,1,0,1
INK-2026-1097,James Wamalwa,20001983,james.wamalwa.97@inuka.org,+254783715619,Scholarship,Western,Consented,Physical Form,2026-08-10 19:38:09,Active,Enrolled,1,1,1,0
INK-2026-1098,Sarah Ali,20002178,sarah.ali.98@inuka.org,+254714223599,Vocational,Eastern,Consented,Digital Signature,2026-07-29 19:38:09,Active,Enrolled,1,1,0,1
INK-2026-1099,Zainab Achieng,20002221,zainab.achieng.99@inuka.org,+254720988312,Tech,Rift Valley,Consented,Physical Form,2026-02-12 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1100,Catherine Mwangi,20002018,catherine.mwangi.100@inuka.org,+254739379110,Vocational,Nyanza,Consented,SMS OTP,2026-03-14 19:38:09,Active,Enrolled,1,0,1,0
INK-2026-1101,Grace Sang,20002692,grace.sang.101@inuka.org,+254739110716,Scholarship,Coastal,Withdrawn,Physical Form,2026-07-09 19:38:09,Active,On Hold,0,0,0,0
INK-2026-1102,Andrew Mwangi,20002684,andrew.mwangi.102@inuka.org,+254793599847,Plus,Eastern,Consented,SMS OTP,2026-05-29 19:38:09,Active,Enrolled,1,0,0,1
INK-2026-1103,Wycliffe Kipkorir,20002736,wycliffe.kipkorir.103@inuka.org,+254716552226,Plus,Coastal,Consented,Digital Signature,2026-06-04 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1104,Patrick Lagat,20002641,patrick.lagat.104@inuka.org,+254734369951,Plus,Western,Consented,SMS OTP,2026-03-11 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1105,Simon Kipruto,20002310,simon.kipruto.105@inuka.org,+254783535480,Vocational,Central,Consented,Digital Signature,2026-03-26 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1106,Joyce Karanja,20002282,joyce.karanja.106@inuka.org,+254757448310,Plus,North Eastern,Consented,Digital Signature,2026-06-29 19:38:09,Active,Enrolled,1,0,0,1
INK-2026-1107,Zainab Wamalwa,20002459,zainab.wamalwa.107@inuka.org,+254764583235,Tech,Western,Consented,Digital Signature,2026-03-22 19:38:09,Active,Enrolled,1,0,1,0
INK-2026-1108,Asha Karanja,20002791,asha.karanja.108@inuka.org,+254727212999,Vocational,Rift Valley,Consented,Physical Form,2026-05-11 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1109,Collins Juma,20002389,collins.juma.109@inuka.org,+254717739273,Tech,Nyanza,Pending,,,Active,Pending Review,0,0,0,0
INK-2026-1110,Michael Juma,20002052,michael.juma.110@inuka.org,+254781704630,Vocational,Central,Consented,Digital Signature,2026-03-11 19:38:09,Active,Enrolled,1,1,0,1
INK-2026-1111,Alice Mutua,20002374,alice.mutua.111@inuka.org,+254783462364,Plus,Nyanza,Consented,SMS OTP,2026-06-16 19:38:09,Active,Enrolled,1,0,1,1
INK-2026-1112,Anita Ndwiga,20002589,anita.ndwiga.112@inuka.org,+254728788766,Scholarship,Central,Consented,SMS OTP,2026-08-04 19:38:09,Active,Enrolled,1,0,1,1
INK-2026-1113,Brian Barasa,20002343,brian.barasa.113@inuka.org,+254716282102,Tech,Western,Consented,Physical Form,2026-04-14 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1114,Mercy Kipruto,20002323,mercy.kipruto.114@inuka.org,+254777957286,Vocational,Nairobi,Consented,Physical Form,2026-05-22 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1115,Paul Hassan,20002641,paul.hassan.115@inuka.org,+254716122707,Scholarship,Eastern,Consented,Digital Signature,2026-07-10 19:38:09,Active,Enrolled,1,1,0,1
INK-2026-1116,Rose Mwangi,20002531,rose.mwangi.116@inuka.org,+254792841565,Tech,Rift Valley,Consented,Digital Signature,2026-03-24 19:38:09,Active,Enrolled,1,0,1,0
INK-2026-1117,Philip Nduku,20002788,philip.nduku.117@inuka.org,+254759500756,Scholarship,North Eastern,Consented,Physical Form,2026-07-02 19:38:09,Active,Enrolled,1,1,1,0
INK-2026-1118,Gladys Wanjiku,20002432,gladys.wanjiku.118@inuka.org,+254749945704,Tech,North Eastern,Consented,Physical Form,2026-07-26 19:38:09,Active,Enrolled,1,1,1,0
INK-2026-1119,Halima Kimani,20002410,halima.kimani.119@inuka.org,+254737257908,Vocational,Eastern,Consented,SMS OTP,2026-04-23 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1120,Daniel Wambui,20002514,daniel.wambui.120@inuka.org,+254745197137,Scholarship,Nairobi,Pending,,,Active,Pending Review,0,0,0,0
INK-2026-1121,Simon Mohamed,20002164,simon.mohamed.121@inuka.org,+254795951623,Plus,Coastal,Consented,SMS OTP,2026-06-07 19:38:09,Active,Enrolled,1,1,1,0
INK-2026-1122,Joseph Chelimo,20002574,joseph.chelimo.122@inuka.org,+254760233151,Vocational,Eastern,Consented,SMS OTP,2026-07-01 19:38:09,Active,Enrolled,1,0,1,1
INK-2026-1123,Charles Chelimo,20002914,charles.chelimo.123@inuka.org,+254770535921,Scholarship,Nyanza,Consented,Digital Signature,2026-03-19 19:38:09,Active,Enrolled,1,0,1,0
INK-2026-1124,James Wangari,20002619,james.wangari.124@inuka.org,+254733809488,Plus,Central,Consented,Physical Form,2026-03-01 19:38:09,Active,Enrolled,1,0,1,0
INK-2026-1125,Eunice Mwangi,20002269,eunice.mwangi.125@inuka.org,+254769559926,Scholarship,Nyanza,Consented,Digital Signature,2026-08-06 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1126,Rose Chelimo,20003032,rose.chelimo.126@inuka.org,+254738450426,Vocational,Coastal,Consented,Physical Form,2026-02-03 19:38:09,Active,Enrolled,1,0,1,1
INK-2026-1127,Michael Wamalwa,20002268,michael.wamalwa.127@inuka.org,+254779596727,Tech,Eastern,Consented,Digital Signature,2026-05-13 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1128,Agnes Kemei,20002629,agnes.kemei.128@inuka.org,+254757362376,Plus,Rift Valley,Consented,SMS OTP,2026-07-20 19:38:09,Active,Enrolled,1,0,1,0
INK-2026-1129,Francis Nyangau,20002835,francis.nyangau.129@inuka.org,+254779837384,Plus,Central,Consented,Physical Form,2026-04-02 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1130,Esther Nyambura,20002408,esther.nyambura.130@inuka.org,+254716208448,Vocational,North Eastern,Consented,Physical Form,2026-07-19 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1131,Moses Muthoni,20002803,moses.muthoni.131@inuka.org,+254779177665,Vocational,Western,Consented,SMS OTP,2026-05-11 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1132,Philip Kariuki,20003191,philip.kariuki.132@inuka.org,+254768765533,Tech,Central,Consented,Physical Form,2026-02-16 19:38:09,Active,Enrolled,1,1,0,1
INK-2026-1133,Wycliffe Chelimo,20003199,wycliffe.chelimo.133@inuka.org,+254731390529,Tech,Eastern,Consented,Digital Signature,2026-07-27 19:38:09,Active,Enrolled,1,1,1,0
INK-2026-1134,Anita Ibrahim,20002602,anita.ibrahim.134@inuka.org,+254794464748,Vocational,Central,Consented,Digital Signature,2026-06-13 19:38:09,Active,Enrolled,1,1,0,1
INK-2026-1135,Andrew Kiprop,20003257,andrew.kiprop.135@inuka.org,+254774807478,Vocational,Nyanza,Pending,,,Active,Pending Review,0,0,0,0
INK-2026-1136,Gladys Kiarie,20002487,gladys.kiarie.136@inuka.org,+254781530546,Tech,Rift Valley,Withdrawn,SMS OTP,2026-07-30 19:38:09,Active,On Hold,0,0,0,0
INK-2026-1137,Philip Onyango,20003121,philip.onyango.137@inuka.org,+254762433924,Scholarship,Nyanza,Consented,Digital Signature,2026-02-23 19:38:09,Active,Enrolled,1,0,1,0
INK-2026-1138,Geoffrey Juma,20002864,geoffrey.juma.138@inuka.org,+254766656786,Tech,Nyanza,Pending,,,Active,Pending Review,0,0,0,0
INK-2026-1139,John Kiarie,20003116,john.kiarie.139@inuka.org,+254728312548,Plus,Nyanza,Consented,Digital Signature,2026-08-09 19:38:09,Active,Enrolled,1,1,1,0
INK-2026-1140,Wycliffe Mwangi,20003014,wycliffe.mwangi.140@inuka.org,+254744497125,Plus,Central,Pending,,,Active,Pending Review,0,0,0,0
INK-2026-1141,Collins Kimani,20003001,collins.kimani.141@inuka.org,+254754136192,Scholarship,Coastal,Consented,Physical Form,2026-07-06 19:38:09,Active,Enrolled,1,0,1,1
INK-2026-1142,Halima Sang,20002806,halima.sang.142@inuka.org,+254743546481,Vocational,Rift Valley,Consented,Digital Signature,2026-07-07 19:38:09,Active,Enrolled,1,0,1,0
INK-2026-1143,Sarah Mohamed,20003022,sarah.mohamed.143@inuka.org,+254791107677,Plus,North Eastern,Consented,SMS OTP,2026-06-03 19:38:09,Active,Enrolled,1,0,0,1
INK-2026-1144,Geoffrey Chepkemoi,20003186,geoffrey.chepkemoi.144@inuka.org,+254720285625,Scholarship,Eastern,Consented,Digital Signature,2026-08-19 19:38:09,Active,Enrolled,1,0,1,1
INK-2026-1145,Brian Ali,20003265,brian.ali.145@inuka.org,+254767890241,Vocational,Western,Consented,Physical Form,2026-03-26 19:38:09,Active,Enrolled,1,1,1,0
INK-2026-1146,Joseph Juma,20003320,joseph.juma.146@inuka.org,+254710329874,Plus,Nairobi,Consented,Physical Form,2026-03-07 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1147,Philip Hassan,20003491,philip.hassan.147@inuka.org,+254728199934,Vocational,Eastern,Consented,SMS OTP,2026-05-26 19:38:09,Active,Enrolled,1,0,1,1
INK-2026-1148,Mercy Barasa,20003329,mercy.barasa.148@inuka.org,+254787548544,Tech,Coastal,Consented,Digital Signature,2026-03-07 19:38:09,Active,Enrolled,1,0,1,0
